Time,Brain,CSF,Plasma
4.590000e+01,7.284176,22.778299,40.813354
46,7.284176,22.784278,40.836750
4.610000e+01,7.284176,22.790107,40.859715
4.620000e+01,7.284176,22.795791,40.882256
4.630000e+01,7.284176,22.801333,40.904381
4.640000e+01,7.284176,22.806737,40.926097
4.650000e+01,7.284176,22.812007,40.947409
4.660000e+01,7.284176,22.817144,40.968325
4.670000e+01,7.284176,22.822154,40.988851
4.680000e+01,7.284176,22.827039,41.008993
4.690000e+01,7.284176,22.831802,41.028759
47,7.284176,22.836446,41.048153
4.710000e+01,7.284176,22.840975,41.067184
4.720000e+01,7.284176,22.845390,41.085856
4.730000e+01,7.284176,22.849696,41.104175
4.740000e+01,7.284176,22.853894,41.122149
4.750000e+01,7.284176,22.857987,41.139782
4.760000e+01,7.284176,22.861978,41.157080
4.770000e+01,7.284176,22.865870,41.174050
4.780000e+01,7.284176,22.869665,41.190696
4.790000e+01,7.284176,22.873365,41.207025
48,7.281660,22.876972,41.223028
4.810000e+01,6.959737,22.867525,41.225861
4.820000e+01,6.679132,22.834999,41.208525
4.830000e+01,6.436127,22.783084,41.173635
4.840000e+01,6.225683,22.714959,41.123461
4.850000e+01,6.043439,22.633363,41.059984
4.860000e+01,5.885614,22.540652,40.984936
4.870000e+01,5.748938,22.438856,40.899831
4.880000e+01,5.630576,22.329717,40.805993
4.890000e+01,5.528074,22.214733,40.704584
49,5.439307,22.095187,40.596621
4.910000e+01,5.362434,21.972178,40.482998
4.920000e+01,5.295862,21.846647,40.364499
4.930000e+01,5.238211,21.719396,40.241815
4.940000e+01,5.188284,21.591109,40.115556
4.950000e+01,5.145048,21.462367,39.986256
4.960000e+01,5.107605,21.333663,39.854392
4.970000e+01,5.075179,21.205411,39.720382
4.980000e+01,5.047099,21.077963,39.584596
4.990000e+01,5.022781,20.951610,39.447366
50,5.001721,20.826597,39.308983
5.010000e+01,4.983484,20.703125,39.169709
5.020000e+01,4.967690,20.581360,39.029774
5.030000e+01,4.954012,20.461435,38.889387
5.040000e+01,4.942168,20.343459,38.748732
5.050000e+01,4.931910,20.227514,38.607977
5.060000e+01,4.923027,20.113666,38.467268
5.070000e+01,4.915334,20.001962,38.326741
5.080000e+01,4.908672,19.892436,38.186516
5.090000e+01,4.902903,19.785108,38.046700
51,4.897907,19.679989,37.907392
5.110000e+01,4.893580,19.577080,37.768679
5.120000e+01,4.889833,19.476376,37.630641
5.130000e+01,4.886588,19.377864,37.493351
5.140000e+01,4.883778,19.281527,37.356873
5.150000e+01,4.881344,19.187342,37.221267
5.160000e+01,4.879237,19.095286,37.086586
5.170000e+01,4.877412,19.005328,36.952879
5.180000e+01,4.875831,18.917438,36.820189
5.190000e+01,4.874463,18.831582,36.688557
52,4.873277,18.747728,36.558019
5.210000e+01,4.872251,18.665837,36.428606
5.220000e+01,4.871362,18.585875,36.300348
5.230000e+01,4.870592,18.507804,36.173273
5.240000e+01,4.869925,18.431586,36.047403
5.250000e+01,4.869348,18.357183,35.922759
5.260000e+01,4.868848,18.284558,35.799362
5.270000e+01,4.868415,18.213672,35.677227
5.280000e+01,4.868040,18.144488,35.556370
5.290000e+01,4.867715,18.076968,35.436804
53,4.867434,18.011075,35.318539
5.310000e+01,4.867191,17.946773,35.201587
5.320000e+01,4.866980,17.884026,35.085955
5.330000e+01,4.866797,17.822797,34.971650
5.340000e+01,4.866639,17.763052,34.858678
5.350000e+01,4.866502,17.704755,34.747044
5.360000e+01,4.866383,17.647875,34.636749
5.370000e+01,4.866281,17.592376,34.527798
5.380000e+01,4.866192,17.538227,34.420190
5.390000e+01,4.866115,17.485395,34.313926
54,4.866048,17.433848,34.209006
5.410000e+01,4.865990,17.383558,34.105428
5.420000e+01,4.865940,17.334492,34.003190
5.430000e+01,4.865897,17.286623,33.902288
5.440000e+01,4.865859,17.239920,33.802719
5.450000e+01,4.865827,17.194357,33.704479
5.460000e+01,4.865799,17.149905,33.607562
5.470000e+01,4.865774,17.106537,33.511964
5.480000e+01,4.865753,17.064228,33.417677
5.490000e+01,4.865735,17.022952,33.324695
55,4.865719,16.982684,33.233012
5.510000e+01,4.865705,16.943399,33.142619
5.520000e+01,4.865693,16.905073,33.053508
5.530000e+01,4.865683,16.867683,32.965672
5.540000e+01,4.865674,16.831207,32.879101
5.550000e+01,4.865667,16.795622,32.793787
5.560000e+01,4.865660,16.760906,32.709719
5.570000e+01,4.865654,16.727038,32.626889
5.580000e+01,4.865649,16.693998,32.545285
5.590000e+01,4.865645,16.661765,32.464898
56,4.868162,16.630315,32.385733
5.610000e+01,5.190667,16.612208,32.320437
5.620000e+01,5.471701,16.618364,32.275834
5.630000e+01,5.715008,16.644984,32.249378
5.640000e+01,5.925654,16.688790,32.238855
5.650000e+01,6.108023,16.746956,32.242334
5.660000e+01,6.265910,16.817051,32.258121
5.670000e+01,6.402603,16.896980,32.284735
5.680000e+01,6.520945,16.984944,32.320878
5.690000e+01,6.623402,17.079397,32.365408
57,6.712105,17.179010,32.417323
5.710000e+01,6.788900,17.282647,32.475742
5.720000e+01,6.855386,17.389333,32.539886
5.730000e+01,6.912947,17.498236,32.609071
5.740000e+01,6.962781,17.608646,32.682689
5.750000e+01,7.005925,17.719959,32.760204
5.760000e+01,7.043278,17.831661,32.841140
5.770000e+01,7.075616,17.943318,32.925074
5.780000e+01,7.103613,18.054563,33.011629
5.790000e+01,7.127852,18.165088,33.100469
58,7.148837,18.274635,33.191295
5.810000e+01,7.167005,18.382990,33.283837
5.820000e+01,7.182734,18.489976,33.377855
5.830000e+01,7.196352,18.595447,33.473132
5.840000e+01,7.208142,18.699288,33.569472
5.850000e+01,7.218349,18.801404,33.666700
5.860000e+01,7.227185,18.901722,33.764655
5.870000e+01,7.234836,19.000188,33.863193
5.880000e+01,7.241459,19.096759,33.962183
5.890000e+01,7.247194,19.191408,34.061505
59,7.252158,19.284117,34.161051
5.910000e+01,7.256456,19.374879,34.260720
5.920000e+01,7.260178,19.463692,34.360422
5.930000e+01,7.263399,19.550564,34.460073
5.940000e+01,7.266188,19.635506,34.559596
5.950000e+01,7.268603,19.718535,34.658922
5.960000e+01,7.270694,19.799670,34.757985
5.970000e+01,7.272504,19.878936,34.856726
5.980000e+01,7.274071,19.956357,34.955090
5.990000e+01,7.275427,20.031963,35.053026
60,7.276602,20.105783,35.150488
6.010000e+01,7.277618,20.177849,35.247431
6.020000e+01,7.278499,20.248192,35.343817
6.030000e+01,7.279261,20.316846,35.439608
6.040000e+01,7.279921,20.383843,35.534771
6.050000e+01,7.280492,20.449218,35.629273
6.060000e+01,7.280987,20.513005,35.723087
6.070000e+01,7.281415,20.575238,35.816185
6.080000e+01,7.281786,20.635950,35.908542
6.090000e+01,7.282107,20.695175,36.000137
61,7.282384,20.752947,36.090948
6.110000e+01,7.282625,20.809299,36.180956
6.120000e+01,7.282833,20.864263,36.270144
6.130000e+01,7.283014,20.917872,36.358496
6.140000e+01,7.283170,20.970158,36.445998
6.150000e+01,7.283305,21.021151,36.532636
6.160000e+01,7.283422,21.070882,36.618399
6.170000e+01,7.283523,21.119382,36.703276
6.180000e+01,7.283611,21.166680,36.787258
6.190000e+01,7.283687,21.212805,36.870336
62,7.283752,21.257785,36.952504
6.210000e+01,7.283809,21.301648,37.033755
6.220000e+01,7.283859,21.344422,37.114083
